ClusterID,Machine,ClusterStart,ClusterEnd,RunSec,CycleCount
1112,66 DMU NLX 2500,2026-01-01 23:36:03+00:00,2026-01-02 03:10:43+00:00,9877,16
385,22 DMU NLX 2500 old,2026-01-01 23:41:01+00:00,2026-01-02 03:20:57+00:00,10273,16
286,21 DOOSAN PUMA700,2026-01-02 00:12:47+00:00,2026-01-02 05:27:33+00:00,18646,5
823,41 DMU NLX2500,2026-01-02 00:27:29+00:00,2026-01-02 00:59:18+00:00,1758,2
825,41 DMU NLX2500,2026-01-02 02:11:38+00:00,2026-01-02 02:22:48+00:00,670,1
826,41 DMU NLX2500,2026-01-02 02:33:40+00:00,2026-01-02 02:51:49+00:00,1089,1
1113,66 DMU NLX 2500,2026-01-02 05:00:22+00:00,2026-01-02 05:12:50+00:00,748,1
972,65 DMU NLX 2500,2026-01-02 05:01:34+00:00,2026-01-02 05:07:29+00:00,320,2
827,41 DMU NLX2500,2026-01-02 05:07:03+00:00,2026-01-02 06:52:40+00:00,5348,9
386,22 DMU NLX 2500 old,2026-01-02 05:07:22+00:00,2026-01-02 05:47:10+00:00,1972,4
500,23 DOOSAN PUMA 700,2026-01-02 05:24:04+00:00,2026-01-02 06:48:18+00:00,2163,12
1114,66 DMU NLX 2500,2026-01-02 05:27:09+00:00,2026-01-02 07:35:23+00:00,6098,10
973,65 DMU NLX 2500,2026-01-02 05:27:23+00:00,2026-01-02 06:03:04+00:00,1255,7
713,24 DOOSAN PUMA 3100L,2026-01-02 05:38:35+00:00,2026-01-02 07:00:56+00:00,4264,4
287,21 DOOSAN PUMA700,2026-01-02 05:42:12+00:00,2026-01-02 06:35:45+00:00,2049,6
192,104 DOOSAN DNM6700,2026-01-02 05:46:16+00:00,2026-01-02 07:10:11+00:00,4234,13
387,22 DMU NLX 2500 old,2026-01-02 06:03:30+00:00,2026-01-02 06:46:17+00:00,2427,2
501,23 DOOSAN PUMA 700,2026-01-02 06:59:52+00:00,2026-01-02 09:28:38+00:00,4641,25
388,22 DMU NLX 2500 old,2026-01-02 07:02:43+00:00,2026-01-02 07:59:19+00:00,3053,5
714,24 DOOSAN PUMA 3100L,2026-01-02 07:14:28+00:00,2026-01-02 08:43:00+00:00,4263,4
288,21 DOOSAN PUMA700,2026-01-02 07:22:32+00:00,2026-01-02 07:35:31+00:00,773,3
193,104 DOOSAN DNM6700,2026-01-02 07:36:18+00:00,2026-01-02 09:12:34+00:00,4231,15
289,21 DOOSAN PUMA700,2026-01-02 07:47:48+00:00,2026-01-02 09:36:38+00:00,4586,6
1115,66 DMU NLX 2500,2026-01-02 07:58:52+00:00,2026-01-02 08:25:51+00:00,1523,2
976,65 DMU NLX 2500,2026-01-02 08:01:45+00:00,2026-01-02 08:20:36+00:00,705,3
389,22 DMU NLX 2500 old,2026-01-02 08:12:28+00:00,2026-01-02 10:13:58+00:00,6124,10
1116,66 DMU NLX 2500,2026-01-02 08:50:14+00:00,2026-01-02 10:16:59+00:00,4572,6
978,65 DMU NLX 2500,2026-01-02 09:04:28+00:00,2026-01-02 09:55:33+00:00,1747,8
194,104 DOOSAN DNM6700,2026-01-02 09:25:09+00:00,2026-01-02 10:52:36+00:00,4232,8
502,23 DOOSAN PUMA 700,2026-01-02 09:39:56+00:00,2026-01-02 10:03:39+00:00,680,5
290,21 DOOSAN PUMA700,2026-01-02 09:47:29+00:00,2026-01-02 11:12:21+00:00,4499,3
1117,66 DMU NLX 2500,2026-01-02 10:31:26+00:00,2026-01-02 11:31:02+00:00,3048,4
979,65 DMU NLX 2500,2026-01-02 10:35:38+00:00,2026-01-02 10:47:14+00:00,319,2
390,22 DMU NLX 2500 old,2026-01-02 10:36:16+00:00,2026-01-02 11:33:02+00:00,3057,5
504,23 DOOSAN PUMA 700,2026-01-02 10:40:07+00:00,2026-01-02 11:16:40+00:00,1082,6
195,104 DOOSAN DNM6700,2026-01-02 11:03:15+00:00,2026-01-02 11:36:17+00:00,1823,4
980,65 DMU NLX 2500,2026-01-02 11:04:22+00:00,2026-01-02 11:27:42+00:00,815,4
291,21 DOOSAN PUMA700,2026-01-02 11:24:23+00:00,2026-01-02 11:41:42+00:00,1039,1
505,23 DOOSAN PUMA 700,2026-01-02 11:30:54+00:00,2026-01-02 11:50:20+00:00,991,5
196,104 DOOSAN DNM6700,2026-01-03 16:40:59+00:00,2026-01-03 17:28:57+00:00,2420,7
3,102 HAAS VF4,2026-01-03 16:45:58+00:00,2026-01-03 19:01:21+00:00,6640,4
1118,66 DMU NLX 2500,2026-01-03 17:08:30+00:00,2026-01-03 21:37:53+00:00,12958,25
506,23 DOOSAN PUMA 700,2026-01-03 17:11:24+00:00,2026-01-03 17:43:33+00:00,1167,7
981,65 DMU NLX 2500,2026-01-03 17:12:37+00:00,2026-01-03 20:14:08+00:00,5989,33
391,22 DMU NLX 2500 old,2026-01-03 17:15:03+00:00,2026-01-03 18:17:15+00:00,3063,5
197,104 DOOSAN DNM6700,2026-01-03 17:41:55+00:00,2026-01-03 18:57:27+00:00,4222,8
507,23 DOOSAN PUMA 700,2026-01-03 18:02:52+00:00,2026-01-03 19:02:53+00:00,2162,12
392,22 DMU NLX 2500 old,2026-01-03 18:28:35+00:00,2026-01-03 23:52:56+00:00,15788,28
198,104 DOOSAN DNM6700,2026-01-03 19:09:35+00:00,2026-01-03 20:27:47+00:00,4224,10
508,23 DOOSAN PUMA 700,2026-01-03 19:16:46+00:00,2026-01-03 19:47:54+00:00,1081,6
828,41 DMU NLX2500,2026-01-03 19:23:54+00:00,2026-01-03 23:56:30+00:00,14040,25
4,102 HAAS VF4,2026-01-03 19:38:43+00:00,2026-01-03 20:33:34+00:00,3291,1
982,65 DMU NLX 2500,2026-01-03 20:27:21+00:00,2026-01-03 20:42:39+00:00,426,3
199,104 DOOSAN DNM6700,2026-01-03 20:40:00+00:00,2026-01-03 21:08:57+00:00,1454,8
5,102 HAAS VF4,2026-01-03 20:47:42+00:00,2026-01-03 23:51:20+00:00,9910,4
983,65 DMU NLX 2500,2026-01-03 20:53:10+00:00,2026-01-03 21:13:57+00:00,706,3
200,104 DOOSAN DNM6700,2026-01-03 21:20:41+00:00,2026-01-03 21:44:43+00:00,777,6
201,104 DOOSAN DNM6700,2026-01-03 22:01:00+00:00,2026-01-03 22:46:40+00:00,2534,4
986,65 DMU NLX 2500,2026-01-03 22:31:28+00:00,2026-01-03 23:42:58+00:00,2268,12
202,104 DOOSAN DNM6700,2026-01-03 22:59:16+00:00,2026-01-04 00:20:59+00:00,4267,9
987,65 DMU NLX 2500,2026-01-03 23:55:46+00:00,2026-01-04 00:02:11+00:00,385,1
988,65 DMU NLX 2500,2026-01-04 00:13:49+00:00,2026-01-04 00:19:33+00:00,317,2
6,102 HAAS VF4,2026-01-04 00:25:06+00:00,2026-01-04 01:20:12+00:00,3306,1
203,104 DOOSAN DNM6700,2026-01-04 00:33:09+00:00,2026-01-04 01:55:54+00:00,4230,6
829,41 DMU NLX2500,2026-01-04 00:38:08+00:00,2026-01-04 04:43:39+00:00,12028,20
393,22 DMU NLX 2500 old,2026-01-04 00:39:01+00:00,2026-01-04 03:50:46+00:00,9326,16
989,65 DMU NLX 2500,2026-01-04 00:45:54+00:00,2026-01-04 04:34:27+00:00,6490,35
7,102 HAAS VF4,2026-01-04 01:36:16+00:00,2026-01-04 02:31:25+00:00,3309,1
394,22 DMU NLX 2500 old,2026-01-04 04:03:23+00:00,2026-01-04 04:48:01+00:00,2419,2
395,22 DMU NLX 2500 old,2026-01-04 05:06:04+00:00,2026-01-04 10:05:40+00:00,13969,24
990,65 DMU NLX 2500,2026-01-04 05:20:03+00:00,2026-01-04 05:32:44+00:00,439,3
8,102 HAAS VF4,2026-01-04 05:22:08+00:00,2026-01-04 08:26:12+00:00,9474,4
830,41 DMU NLX2500,2026-01-04 05:24:43+00:00,2026-01-04 06:06:11+00:00,2008,3
509,23 DOOSAN PUMA 700,2026-01-04 05:31:22+00:00,2026-01-04 06:01:40+00:00,1395,8
991,65 DMU NLX 2500,2026-01-04 05:43:40+00:00,2026-01-04 06:08:19+00:00,1016,5
715,24 DOOSAN PUMA 3100L,2026-01-04 05:46:37+00:00,2026-01-04 06:04:57+00:00,643,2
510,23 DOOSAN PUMA 700,2026-01-04 06:12:33+00:00,2026-01-04 06:28:49+00:00,766,5
992,65 DMU NLX 2500,2026-01-04 06:20:41+00:00,2026-01-04 09:51:36+00:00,8119,44
831,41 DMU NLX2500,2026-01-04 06:20:56+00:00,2026-01-04 06:59:04+00:00,2006,3
716,24 DOOSAN PUMA 3100L,2026-01-04 06:22:07+00:00,2026-01-04 07:25:46+00:00,3621,2
511,23 DOOSAN PUMA 700,2026-01-04 06:45:14+00:00,2026-01-04 09:39:19+00:00,6777,39
832,41 DMU NLX2500,2026-01-04 07:28:33+00:00,2026-01-04 08:08:07+00:00,2006,3
717,24 DOOSAN PUMA 3100L,2026-01-04 07:38:02+00:00,2026-01-04 07:50:24+00:00,302,3
295,21 DOOSAN PUMA700,2026-01-04 07:42:47+00:00,2026-01-04 08:04:30+00:00,634,12
1120,66 DMU NLX 2500,2026-01-04 08:15:35+00:00,2026-01-04 08:52:01+00:00,798,22
718,24 DOOSAN PUMA 3100L,2026-01-04 08:25:01+00:00,2026-01-04 08:32:57+00:00,476,1
9,102 HAAS VF4,2026-01-04 08:37:27+00:00,2026-01-04 09:40:28+00:00,3343,2
719,24 DOOSAN PUMA 3100L,2026-01-04 08:43:43+00:00,2026-01-04 09:49:37+00:00,3787,3
834,41 DMU NLX2500,2026-01-04 08:59:58+00:00,2026-01-04 09:56:21+00:00,2679,4
1121,66 DMU NLX 2500,2026-01-04 09:03:23+00:00,2026-01-04 09:48:39+00:00,1172,17
993,65 DMU NLX 2500,2026-01-04 10:30:39+00:00,2026-01-04 11:43:27+00:00,2878,14
396,22 DMU NLX 2500 old,2026-01-04 10:31:26+00:00,2026-01-04 16:46:57+00:00,17121,28
512,23 DOOSAN PUMA 700,2026-01-04 10:34:32+00:00,2026-01-04 10:44:12+00:00,578,2
835,41 DMU NLX2500,2026-01-04 10:39:45+00:00,2026-01-04 11:22:44+00:00,2004,3
10,102 HAAS VF4,2026-01-04 10:47:19+00:00,2026-01-04 11:39:41+00:00,3142,1
513,23 DOOSAN PUMA 700,2026-01-04 11:00:03+00:00,2026-01-04 11:47:21+00:00,1867,12
720,24 DOOSAN PUMA 3100L,2026-01-04 11:21:42+00:00,2026-01-04 12:43:03+00:00,4265,4
299,21 DOOSAN PUMA700,2026-01-04 11:25:10+00:00,2026-01-04 13:07:33+00:00,4262,37
836,41 DMU NLX2500,2026-01-04 11:32:57+00:00,2026-01-04 11:51:11+00:00,1092,2
1122,66 DMU NLX 2500,2026-01-04 11:45:44+00:00,2026-01-04 12:36:59+00:00,1106,15
514,23 DOOSAN PUMA 700,2026-01-04 11:58:36+00:00,2026-01-04 12:29:49+00:00,1476,10
11,102 HAAS VF4,2026-01-04 12:06:59+00:00,2026-01-04 13:21:20+00:00,3590,6
838,41 DMU NLX2500,2026-01-04 12:38:58+00:00,2026-01-04 13:09:26+00:00,1748,2
515,23 DOOSAN PUMA 700,2026-01-04 12:41:10+00:00,2026-01-04 12:51:01+00:00,579,2
1123,66 DMU NLX 2500,2026-01-04 12:54:20+00:00,2026-01-04 13:58:10+00:00,1871,10
516,23 DOOSAN PUMA 700,2026-01-04 13:01:06+00:00,2026-01-04 13:49:14+00:00,1587,10
839,41 DMU NLX2500,2026-01-04 13:31:32+00:00,2026-01-04 14:12:11+00:00,2006,3
12,102 HAAS VF4,2026-01-04 13:37:08+00:00,2026-01-04 14:31:33+00:00,3265,1
721,24 DOOSAN PUMA 3100L,2026-01-04 13:49:35+00:00,2026-01-04 15:13:09+00:00,4262,4
517,23 DOOSAN PUMA 700,2026-01-04 14:01:20+00:00,2026-01-04 14:25:55+00:00,1082,6
1124,66 DMU NLX 2500,2026-01-04 14:12:55+00:00,2026-01-04 14:21:26+00:00,414,2
994,65 DMU NLX 2500,2026-01-04 14:16:55+00:00,2026-01-04 14:34:25+00:00,747,5
840,41 DMU NLX2500,2026-01-04 14:27:30+00:00,2026-01-04 16:46:31+00:00,7104,10
1125,66 DMU NLX 2500,2026-01-04 14:32:07+00:00,2026-01-04 15:11:10+00:00,1285,8
518,23 DOOSAN PUMA 700,2026-01-04 14:38:13+00:00,2026-01-04 15:46:05+00:00,2740,14
995,65 DMU NLX 2500,2026-01-04 14:52:15+00:00,2026-01-04 15:07:49+00:00,706,3
13,102 HAAS VF4,2026-01-04 14:52:38+00:00,2026-01-04 15:53:08+00:00,3630,1
996,65 DMU NLX 2500,2026-01-04 15:18:12+00:00,2026-01-04 18:31:56+00:00,6097,33
722,24 DOOSAN PUMA 3100L,2026-01-04 15:29:23+00:00,2026-01-04 16:48:26+00:00,4267,4
1127,66 DMU NLX 2500,2026-01-04 15:51:06+00:00,2026-01-04 16:12:02+00:00,525,8
519,23 DOOSAN PUMA 700,2026-01-04 16:01:47+00:00,2026-01-04 17:11:38+00:00,2849,14
14,102 HAAS VF4,2026-01-04 16:10:29+00:00,2026-01-04 18:06:06+00:00,6620,2
1128,66 DMU NLX 2500,2026-01-04 16:22:14+00:00,2026-01-04 18:56:52+00:00,5883,23
208,104 DOOSAN DNM6700,2026-01-04 16:28:27+00:00,2026-01-04 18:10:41+00:00,2819,74
841,41 DMU NLX2500,2026-01-04 16:56:35+00:00,2026-01-04 18:15:06+00:00,4011,7
397,22 DMU NLX 2500 old,2026-01-04 16:58:30+00:00,2026-01-04 19:31:29+00:00,7362,12
723,24 DOOSAN PUMA 3100L,2026-01-04 17:02:34+00:00,2026-01-04 18:25:25+00:00,4263,4
520,23 DOOSAN PUMA 700,2026-01-04 17:22:51+00:00,2026-01-04 19:05:40+00:00,3824,20
209,104 DOOSAN DNM6700,2026-01-04 18:20:46+00:00,2026-01-04 20:06:05+00:00,4395,23
15,102 HAAS VF4,2026-01-04 18:22:04+00:00,2026-01-04 21:23:37+00:00,9921,3
842,41 DMU NLX2500,2026-01-04 18:30:43+00:00,2026-01-04 21:09:29+00:00,8009,13
724,24 DOOSAN PUMA 3100L,2026-01-04 18:37:00+00:00,2026-01-04 19:55:43+00:00,4264,4
997,65 DMU NLX 2500,2026-01-04 18:46:09+00:00,2026-01-04 18:52:34+00:00,385,1
521,23 DOOSAN PUMA 700,2026-01-04 19:20:31+00:00,2026-01-04 21:57:09+00:00,5191,30
1130,66 DMU NLX 2500,2026-01-04 19:42:49+00:00,2026-01-04 21:32:41+00:00,4370,18
998,65 DMU NLX 2500,2026-01-04 19:45:22+00:00,2026-01-04 20:41:51+00:00,1881,11
398,22 DMU NLX 2500 old,2026-01-04 19:47:19+00:00,2026-01-04 21:12:57+00:00,4394,6
725,24 DOOSAN PUMA 3100L,2026-01-04 20:11:02+00:00,2026-01-04 21:32:20+00:00,4263,4
210,104 DOOSAN DNM6700,2026-01-04 20:17:34+00:00,2026-01-04 21:36:01+00:00,4220,7
999,65 DMU NLX 2500,2026-01-04 20:52:42+00:00,2026-01-04 21:32:09+00:00,1134,6
16,102 HAAS VF4,2026-01-04 21:37:21+00:00,2026-01-04 22:32:22+00:00,3301,2
399,22 DMU NLX 2500 old,2026-01-04 21:41:19+00:00,2026-01-04 23:43:23+00:00,6118,12
843,41 DMU NLX2500,2026-01-04 21:43:27+00:00,2026-01-04 23:43:42+00:00,6010,11
726,24 DOOSAN PUMA 3100L,2026-01-04 21:45:52+00:00,2026-01-04 23:08:52+00:00,4265,7
211,104 DOOSAN DNM6700,2026-01-04 21:50:19+00:00,2026-01-04 23:12:05+00:00,4215,8
1131,66 DMU NLX 2500,2026-01-04 21:53:23+00:00,2026-01-04 22:53:07+00:00,1984,9
1000,65 DMU NLX 2500,2026-01-04 21:53:32+00:00,2026-01-05 01:12:25+00:00,6063,31
17,102 HAAS VF4,2026-01-04 22:45:07+00:00,2026-01-04 23:40:02+00:00,3295,2
1132,66 DMU NLX 2500,2026-01-04 23:04:36+00:00,2026-01-05 00:40:24+00:00,2761,16
212,104 DOOSAN DNM6700,2026-01-04 23:30:25+00:00,2026-01-05 00:49:13+00:00,4230,8
18,102 HAAS VF4,2026-01-04 23:57:32+00:00,2026-01-05 00:52:51+00:00,3319,1
400,22 DMU NLX 2500 old,2026-01-04 23:57:56+00:00,2026-01-05 02:00:36+00:00,6117,10
844,41 DMU NLX2500,2026-01-04 23:58:43+00:00,2026-01-05 01:45:34+00:00,5097,8
1133,66 DMU NLX 2500,2026-01-05 00:52:21+00:00,2026-01-05 01:32:30+00:00,1321,8
213,104 DOOSAN DNM6700,2026-01-05 01:01:57+00:00,2026-01-05 01:34:08+00:00,1815,4
401,22 DMU NLX 2500 old,2026-01-05 05:08:05+00:00,2026-01-05 06:17:11+00:00,3061,5
19,102 HAAS VF4,2026-01-05 05:13:51+00:00,2026-01-05 06:18:01+00:00,3332,4
845,41 DMU NLX2500,2026-01-05 05:13:53+00:00,2026-01-05 06:04:17+00:00,2258,4
