Export Title: My Timeline
Export Date: 2026-01-15T08:58:43.126Z

Machine,Port ID,Start,End,State,Machine,Duration,Operator
102 HAAS VF4,1,1767278460,1767278645,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767278645,1767279008,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767279008,1767279049,Alarm,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767279049,1767304800,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767304800,1767391200,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767391200,1767458692,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767458692,1767458758,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767458758,1767458791,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767458791,1767459215,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767459215,1767459275,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767459275,1767459870,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767459870,1767463116,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767463116,1767463580,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767463580,1767466881,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767466881,1767469123,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767469123,1767472414,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767472414,1767473262,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767473262,1767476581,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767476581,1767477181,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767477181,1767477600,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767477600,1767480473,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767480473,1767480981,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767480981,1767484280,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767484280,1767486306,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767486306,1767489612,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767489612,1767490576,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767490576,1767493885,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767493885,1767502927,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767502927,1767503838,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767503838,1767504128,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767504128,1767504160,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767504160,1767504574,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767504574,1767507725,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767507725,1767508291,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767508291,1767511431,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767511431,1767512021,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767512021,1767515172,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767515172,1767515847,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767515847,1767516044,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767516044,1767516482,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767516482,1767519628,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767519628,1767523639,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767523639,1767526781,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767526781,1767528419,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528419,1767528429,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528429,1767528434,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528434,1767528541,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528541,1767528551,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528551,1767528568,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528568,1767528595,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528595,1767528645,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528645,1767528844,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528844,1767528991,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767528991,1767529187,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767529187,1767529732,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767529732,1767532880,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767532880,1767533828,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767533828,1767537093,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767537093,1767538358,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767538358,1767541988,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767541988,1767543029,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767543029,1767546337,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767546337,1767546654,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767546654,1767549966,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767549966,1767550924,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767550924,1767554241,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767554241,1767554793,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767554793,1767558086,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767558086,1767558506,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767558506,1767561817,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767561817,1767562641,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767562641,1767564000,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767564000,1767565942,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767565942,1767566707,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767566707,1767567600,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767567600,1767570002,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767570002,1767571052,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767571052,1767574371,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767574371,1767583429,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767583429,1767590030,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767590030,1767590031,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767590031,1767590045,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767590045,1767590345,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767590345,1767590356,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767590356,1767590357,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767590357,1767590529,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767590529,1767590746,Stopped,102 HAAS VF4,0,John Doe
